x,y,cohort,time,salience
-0.07407945869394784,0.02753346292371999,1,135,
-0.0804361245524697,0.029842253857967717,1,136,
-0.08332920108775782,0.030255459928867714,1,137,
-0.08823593951551628,0.03165685904441051,1,138,
-0.09259838710082223,0.034312203250417235,1,139,
-0.0950608790213355,0.037351238009382184,1,140,
-0.09363795772212262,0.03550108831631041,1,141,
-0.09724691736778665,0.040504290122161064,1,142,
-0.09624263967032927,0.03918153468336577,1,143,
-0.09895244917609995,0.0438244846417084,1,144,
-0.09761338238753449,0.0414411496992369,1,145,
-0.09749261862333497,0.04160408202864917,1,146,
-0.09018758307553627,0.03411024177618041,1,147,
-0.09101912017446391,0.03926263256562428,1,148,
-0.08508706575476162,0.03671286028384678,1,149,
-0.08691905563992802,0.041374606801050214,1,150,
-0.08592519860252515,0.041104368177795,1,151,
-0.08483535657736149,0.04085944052293078,1,152,
-0.08743287342826726,0.04461917340601431,1,153,
-0.08720970994180959,0.045614805943478096,1,154,
-0.08488609292426812,0.047121045796817834,1,155,
-0.08386520546184423,0.04747137521416042,1,156,
-0.07753884550182406,0.04190986224484336,1,157,
-0.0831311113225708,0.04701725998681056,1,158,
-0.08263050776575646,0.04636366229436139,1,159,
-0.08031511580268381,0.04151364500963985,1,160,
0.031638827910443056,-0.026612040672749256,2,0,
0.03287339928605188,-0.03909635037431622,2,1,
0.02950546586335108,-0.04020023147592789,2,2,
0.024376997442331353,-0.045456761970095086,2,3,
0.01956907096983123,-0.046309441320213564,2,4,
0.016015729225369868,-0.0481458375335368,2,5,
0.02901718848983438,-0.053492262516599574,2,6,
0.03538173094272603,-0.05551657238949262,2,7,
0.03879854631635145,-0.0563298538036076,2,8,
0.042465070528165685,-0.056378189088600254,2,9,
0.04146860558709221,-0.05509274968468829,2,10,
0.04749448384223303,-0.05423171776750928,2,11,
0.049852269540330306,-0.05335432760200989,2,12,
0.05512396457975197,-0.049700970826575035,2,13,
0.055654691625586276,-0.04617020247398944,2,14,
0.05896496526746627,-0.04786025552889334,2,15,
0.06023172099916365,-0.05098949376052435,2,16,
0.06694371817182056,-0.053636050192093394,2,17,
0.07530352528393854,-0.05559744863642663,2,18,
0.08225329325508249,-0.05382588957306419,2,19,
0.08523146315871381,-0.05725443324932566,2,20,
0.08853124733215191,-0.056689557837700855,2,21,
0.09111872547033908,-0.05482293552501878,2,22,
0.08878632214414654,-0.0516191101736675,2,23,
